Authors
"('Cheung E.', 'Riffel R.A.')"
"('Rujopakarn W.', 'Cappellari M.')"
"('Rujopakarn W.', 'Belfiore F.')"
"('Rujopakarn W.', 'Yan R.')"
"('Rujopakarn W.', 'Heckman T.')"
"('Rujopakarn W.', 'Bershady M.')"
"('Rujopakarn W.', 'Greene J.')"
"('Rujopakarn W.', 'Westfall K.')"
"('Rujopakarn W.', 'Drory N.')"
"('Rujopakarn W.', 'Rubin K.')"
"('Rujopakarn W.', 'Law D.')"
"('Rujopakarn W.', 'Zhang K.')"
"('Rujopakarn W.', 'Gelfand J.')"
"('Rujopakarn W.', 'Bizyaev D.')"
"('Rujopakarn W.', 'Wake D.')"
"('Rujopakarn W.', 'Masters K.')"
"('Rujopakarn W.', 'Thomas D.')"
"('Rujopakarn W.', 'Li C.')"
"('Rujopakarn W.', 'Riffel R.A.')"
"('Cappellari M.', 'Belfiore F.')"
"('Cappellari M.', 'Yan R.')"
"('Cappellari M.', 'Heckman T.')"
"('Cappellari M.', 'Bershady M.')"
"('Cappellari M.', 'Greene J.')"
"('Cappellari M.', 'Westfall K.')"
"('Cappellari M.', 'Drory N.')"
"('Cappellari M.', 'Rubin K.')"
"('Cappellari M.', 'Law D.')"
"('Cappellari M.', 'Zhang K.')"
"('Cappellari M.', 'Gelfand J.')"
"('Cappellari M.', 'Bizyaev D.')"
"('Cappellari M.', 'Wake D.')"
"('Cappellari M.', 'Masters K.')"
"('Cappellari M.', 'Thomas D.')"
"('Cappellari M.', 'Li C.')"
"('Cappellari M.', 'Riffel R.A.')"
"('Belfiore F.', 'Yan R.')"
"('Belfiore F.', 'Heckman T.')"
"('Belfiore F.', 'Bershady M.')"
"('Belfiore F.', 'Greene J.')"
"('Belfiore F.', 'Westfall K.')"
"('Belfiore F.', 'Drory N.')"
"('Belfiore F.', 'Rubin K.')"
"('Belfiore F.', 'Law D.')"
"('Belfiore F.', 'Zhang K.')"
"('Belfiore F.', 'Gelfand J.')"
"('Belfiore F.', 'Bizyaev D.')"
"('Belfiore F.', 'Wake D.')"
"('Belfiore F.', 'Masters K.')"
"('Belfiore F.', 'Thomas D.')"
"('Belfiore F.', 'Li C.')"
"('Belfiore F.', 'Riffel R.A.')"
"('Yan R.', 'Heckman T.')"
"('Yan R.', 'Bershady M.')"
"('Yan R.', 'Greene J.')"
"('Yan R.', 'Westfall K.')"
"('Yan R.', 'Drory N.')"
"('Yan R.', 'Rubin K.')"
"('Yan R.', 'Law D.')"
"('Yan R.', 'Zhang K.')"
"('Yan R.', 'Gelfand J.')"
"('Yan R.', 'Bizyaev D.')"
"('Yan R.', 'Wake D.')"
"('Yan R.', 'Masters K.')"
"('Yan R.', 'Thomas D.')"
"('Yan R.', 'Li C.')"
"('Yan R.', 'Riffel R.A.')"
"('Heckman T.', 'Bershady M.')"
"('Heckman T.', 'Greene J.')"
"('Heckman T.', 'Westfall K.')"
"('Heckman T.', 'Drory N.')"
"('Heckman T.', 'Rubin K.')"
"('Heckman T.', 'Law D.')"
"('Heckman T.', 'Zhang K.')"
"('Heckman T.', 'Gelfand J.')"
"('Heckman T.', 'Bizyaev D.')"
"('Heckman T.', 'Wake D.')"
"('Heckman T.', 'Masters K.')"
"('Heckman T.', 'Thomas D.')"
"('Heckman T.', 'Li C.')"
"('Heckman T.', 'Riffel R.A.')"
"('Bershady M.', 'Greene J.')"
"('Bershady M.', 'Westfall K.')"
"('Bershady M.', 'Drory N.')"
"('Bershady M.', 'Rubin K.')"
"('Bershady M.', 'Law D.')"
"('Bershady M.', 'Zhang K.')"
"('Bershady M.', 'Gelfand J.')"
"('Bershady M.', 'Bizyaev D.')"
"('Bershady M.', 'Wake D.')"
"('Bershady M.', 'Masters K.')"
"('Bershady M.', 'Thomas D.')"
"('Bershady M.', 'Li C.')"
"('Bershady M.', 'Riffel R.A.')"
"('Greene J.', 'Westfall K.')"
"('Greene J.', 'Drory N.')"
"('Greene J.', 'Rubin K.')"
"('Greene J.', 'Law D.')"
"('Greene J.', 'Zhang K.')"
"('Greene J.', 'Gelfand J.')"
"('Greene J.', 'Bizyaev D.')"
"('Greene J.', 'Wake D.')"
"('Greene J.', 'Masters K.')"
"('Greene J.', 'Thomas D.')"
"('Greene J.', 'Li C.')"
"('Greene J.', 'Riffel R.A.')"
"('Westfall K.', 'Drory N.')"
"('Westfall K.', 'Rubin K.')"
"('Westfall K.', 'Law D.')"
"('Westfall K.', 'Zhang K.')"
"('Westfall K.', 'Gelfand J.')"
"('Westfall K.', 'Bizyaev D.')"
"('Westfall K.', 'Wake D.')"
"('Westfall K.', 'Masters K.')"
"('Westfall K.', 'Thomas D.')"
"('Westfall K.', 'Li C.')"
"('Westfall K.', 'Riffel R.A.')"
"('Drory N.', 'Rubin K.')"
"('Drory N.', 'Law D.')"
"('Drory N.', 'Zhang K.')"
"('Drory N.', 'Gelfand J.')"
"('Drory N.', 'Bizyaev D.')"
"('Drory N.', 'Wake D.')"
"('Drory N.', 'Masters K.')"
"('Drory N.', 'Thomas D.')"
"('Drory N.', 'Li C.')"
"('Drory N.', 'Riffel R.A.')"
"('Rubin K.', 'Law D.')"
"('Rubin K.', 'Zhang K.')"
"('Rubin K.', 'Gelfand J.')"
"('Rubin K.', 'Bizyaev D.')"
"('Rubin K.', 'Wake D.')"
"('Rubin K.', 'Masters K.')"
"('Rubin K.', 'Thomas D.')"
"('Rubin K.', 'Li C.')"
"('Rubin K.', 'Riffel R.A.')"
"('Law D.', 'Zhang K.')"
"('Law D.', 'Gelfand J.')"
"('Law D.', 'Bizyaev D.')"
"('Law D.', 'Wake D.')"
"('Law D.', 'Masters K.')"
"('Law D.', 'Thomas D.')"
"('Law D.', 'Li C.')"
"('Law D.', 'Riffel R.A.')"
"('Zhang K.', 'Gelfand J.')"
"('Zhang K.', 'Bizyaev D.')"
"('Zhang K.', 'Wake D.')"
"('Zhang K.', 'Masters K.')"
"('Zhang K.', 'Thomas D.')"
"('Zhang K.', 'Li C.')"
"('Zhang K.', 'Riffel R.A.')"
"('Gelfand J.', 'Bizyaev D.')"
"('Gelfand J.', 'Wake D.')"
"('Gelfand J.', 'Masters K.')"
"('Gelfand J.', 'Thomas D.')"
"('Gelfand J.', 'Li C.')"
"('Gelfand J.', 'Riffel R.A.')"
"('Bizyaev D.', 'Wake D.')"
"('Bizyaev D.', 'Masters K.')"
"('Bizyaev D.', 'Thomas D.')"
"('Bizyaev D.', 'Li C.')"
"('Bizyaev D.', 'Riffel R.A.')"
"('Wake D.', 'Masters K.')"
"('Wake D.', 'Thomas D.')"
"('Wake D.', 'Li C.')"
"('Wake D.', 'Riffel R.A.')"
"('Masters K.', 'Thomas D.')"
"('Masters K.', 'Li C.')"
"('Masters K.', 'Riffel R.A.')"
"('Thomas D.', 'Li C.')"
"('Thomas D.', 'Riffel R.A.')"
"('Li C.', 'Riffel R.A.')"
"('Visetnoi S.', 'Nelles W.')"
"('Laverock J.', 'Jovic V.')"
"('Laverock J.', 'Zakharov A.A.')"
"('Laverock J.', 'Niu Y.R.')"
"('Laverock J.', 'Kittiwatanakul S.')"
"('Laverock J.', 'Westhenry B.')"
"('Laverock J.', 'Lu J.W.')"
"('Laverock J.', 'Wolf S.A.')"
"('Laverock J.', 'Smith K.E.')"
"('Jovic V.', 'Zakharov A.A.')"
"('Jovic V.', 'Niu Y.R.')"
"('Jovic V.', 'Kittiwatanakul S.')"
"('Jovic V.', 'Westhenry B.')"
"('Jovic V.', 'Lu J.W.')"
"('Jovic V.', 'Wolf S.A.')"
"('Jovic V.', 'Smith K.E.')"
"('Zakharov A.A.', 'Niu Y.R.')"
"('Zakharov A.A.', 'Kittiwatanakul S.')"
"('Zakharov A.A.', 'Westhenry B.')"
"('Zakharov A.A.', 'Lu J.W.')"
"('Zakharov A.A.', 'Wolf S.A.')"
"('Zakharov A.A.', 'Smith K.E.')"
"('Niu Y.R.', 'Kittiwatanakul S.')"
"('Niu Y.R.', 'Westhenry B.')"
"('Niu Y.R.', 'Lu J.W.')"
"('Niu Y.R.', 'Wolf S.A.')"
"('Niu Y.R.', 'Smith K.E.')"
"('Kittiwatanakul S.', 'Westhenry B.')"
"('Kittiwatanakul S.', 'Lu J.W.')"
"('Kittiwatanakul S.', 'Wolf S.A.')"
"('Kittiwatanakul S.', 'Smith K.E.')"
"('Westhenry B.', 'Lu J.W.')"
"('Westhenry B.', 'Wolf S.A.')"
"('Westhenry B.', 'Smith K.E.')"
"('Lu J.W.', 'Wolf S.A.')"
"('Lu J.W.', 'Smith K.E.')"
"('Wolf S.A.', 'Smith K.E.')"
"('Zhang M.', 'Qin J.')"
"('Zhang M.', 'Rajendran S.')"
"('Zhang M.', 'Zhang X.')"
"('Zhang M.', 'Liu R.')"
"('Qin J.', 'Rajendran S.')"
"('Rajendran S.', 'Zhang X.')"
"('Rajendran S.', 'Liu R.')"
"('Laosuttiwong T.', 'Ngaosuwan K.')"
"('Laosuttiwong T.', 'Kiatkittipong W.')"
"('Laosuttiwong T.', 'Wongsawaeng D.')"
"('Laosuttiwong T.', 'Kim-Lohsoontorn P.')"
"('Laosuttiwong T.', 'Assabumrungrat S.')"
"('Ngaosuwan K.', 'Kiatkittipong W.')"
"('Ngaosuwan K.', 'Wongsawaeng D.')"
"('Ngaosuwan K.', 'Kim-Lohsoontorn P.')"
"('Ngaosuwan K.', 'Assabumrungrat S.')"
"('Kiatkittipong W.', 'Wongsawaeng D.')"
"('Kiatkittipong W.', 'Kim-Lohsoontorn P.')"
"('Kiatkittipong W.', 'Assabumrungrat S.')"
"('Wongsawaeng D.', 'Kim-Lohsoontorn P.')"
"('Wongsawaeng D.', 'Assabumrungrat S.')"
"('Kim-Lohsoontorn P.', 'Assabumrungrat S.')"
"('Suntraruk P.', 'Bukkavesa K.')"
"('Suntraruk P.', 'Kulvanich N.')"
